iteration,policy,total_demand,delivered_demand,on_time_demand,late_demand,unmet_demand,total_failed_demand,service_rate,on_time_rate,late_rate,unmet_rate,failure_rate,final_simulation_time,dispatch_decisions,routing_decisions,avg_decision_time_seconds,completion_status,,Metric,Rule-based,LLM-assisted,,,,,,Iteration,Rule-based failure rate,LLM-assisted failure rate,,Policy,Mean decision time,Median decision time
1,rule-based,58,39,17,22,19,41,0.672413793103448,0.293103448275862,0.379310344827586,0.327586206896552,0.706896551724138,512.075417102628,10,10,0.000227010001253802,time-limit,,Service rate,0.653965517241379,0.463275862068966,,,,,,1,0.706896551724138,0.568965517241379,,Rule-based,0.000237805735914905,0.00023551431745132
1,llm-assisted,58,27,25,2,31,33,0.46551724137931,0.431034482758621,0.0344827586206897,0.53448275862069,0.568965517241379,491.766688019489,8,8,4.21646426874941,time-limit,,On-time rate,0.307586206896552,0.35551724137931,,,,,,2,0.706896551724138,0.568965517241379,,LLM-assisted,6.87402303181395,0.861576784997305
2,rule-based,58,39,17,22,19,41,0.672413793103448,0.293103448275862,0.379310344827586,0.327586206896552,0.706896551724138,614.96777908865,10,10,0.000212045002263039,time-limit,,Late rate,0.346379310344828,0.107758620689655,,,,,,3,0.706896551724138,0.431034482758621,,,,
2,llm-assisted,58,40,33,7,18,25,0.689655172413793,0.568965517241379,0.120689655172414,0.310344827586207,0.431034482758621,508.834956775354,11,11,2.51509802272829,time-limit,,Unmet rate,0.346034482758621,0.536724137931035,,,,,,4,0.706896551724138,0.431034482758621,,,,
3,rule-based,58,39,22,17,19,36,0.672413793103448,0.379310344827586,0.293103448275862,0.327586206896552,0.620689655172414,562.257535733697,10,10,0.000229830002353992,time-limit,,Deadline failure rate,0.692413793103448,0.64448275862069,,,,,,5,0.620689655172414,0.568965517241379,,,,
3,llm-assisted,58,27,25,2,31,33,0.46551724137931,0.431034482758621,0.0344827586206897,0.53448275862069,0.568965517241379,480.378467380074,7,7,1.06786354999765,time-limit,,,,,,,,,,6,0.620689655172414,0.568965517241379,,,,
4,rule-based,58,39,22,17,19,36,0.672413793103448,0.379310344827586,0.293103448275862,0.327586206896552,0.620689655172414,484.719497047286,10,10,0.000249435001751408,time-limit,,,,,,,,,,7,0.620689655172414,0.517241379310345,,,,
4,llm-assisted,58,32,28,4,26,30,0.551724137931035,0.482758620689655,0.0689655172413793,0.448275862068966,0.517241379310345,578.479012531461,9,9,2.51189967221904,time-limit,,,,,,,,,,8,0.620689655172414,0.517241379310345,,,,
5,rule-based,58,36,12,24,22,46,0.620689655172414,0.206896551724138,0.413793103448276,0.379310344827586,0.793103448275862,483.44009623101,9,9,0.000249766667063038,time-limit,,,,,,,,,,9,0.793103448275862,0.706896551724138,,,,
5,llm-assisted,58,29,17,12,29,41,0.5,0.293103448275862,0.206896551724138,0.5,0.706896551724138,487.34884055311,8,8,1.46011981249831,time-limit,,,,,,,,,,10,0.793103448275862,0.706896551724138,,,,
6,rule-based,58,36,22,14,22,36,0.620689655172414,0.379310344827586,0.241379310344828,0.379310344827586,0.620689655172414,534.637450687889,9,9,0.000257588889022979,time-limit,,,,,,,,,,11,0.620689655172414,0.53448275862069,,,,
6,llm-assisted,58,30,27,3,28,31,0.517241379310345,0.46551724137931,0.0517241379310345,0.482758620689655,0.53448275862069,507.339005438032,9,9,1.25558558333432,time-limit,,,,,,,,,,12,0.620689655172414,0.53448275862069,,,,
7,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,679.382167092038,10,10,0.000257600001350511,time-limit,,,,,,,,,,13,0.793103448275862,0.706896551724138,,,,
7,llm-assisted,58,28,17,11,30,41,0.482758620689655,0.293103448275862,0.189655172413793,0.517241379310345,0.706896551724138,677.075830624173,7,7,2.70379332142849,time-limit,,,,,,,,,,14,0.793103448275862,0.706896551724138,,,,
8,rule-based,58,41,25,16,17,33,0.706896551724138,0.431034482758621,0.275862068965517,0.293103448275862,0.568965517241379,614.449638318636,11,11,0.000247049999994818,time-limit,,,,,,,,,,15,0.568965517241379,0.827586206896552,,,,
8,llm-assisted,58,22,10,12,36,48,0.379310344827586,0.172413793103448,0.206896551724138,0.620689655172414,0.827586206896552,552.978045388286,6,6,1.96017389166567,time-limit,,,,,,,,,,16,0.568965517241379,0.827586206896552,,,,
9,rule-based,58,41,28,13,17,30,0.706896551724138,0.482758620689655,0.224137931034483,0.293103448275862,0.517241379310345,533.357180188399,11,11,0.00027301817978944,time-limit,,,,,,,,,,17,0.517241379310345,0.413793103448276,,,,
9,llm-assisted,58,37,34,3,21,24,0.637931034482759,0.586206896551724,0.0517241379310345,0.362068965517241,0.413793103448276,559.004034100834,10,10,1.77125939499965,time-limit,,,,,,,,,,18,0.517241379310345,0.413793103448276,,,,
10,rule-based,58,41,25,16,17,33,0.706896551724138,0.431034482758621,0.275862068965517,0.293103448275862,0.568965517241379,623.903887270782,11,11,0.000229227275915698,time-limit,,,,,,,,,,19,0.568965517241379,0.741379310344828,,,,
10,llm-assisted,58,23,15,8,35,43,0.396551724137931,0.258620689655172,0.137931034482759,0.603448275862069,0.741379310344828,583.723692976266,6,6,1.65981759165879,time-limit,,,,,,,,,,20,0.568965517241379,0.741379310344828,,,,
11,rule-based,58,36,17,19,22,41,0.620689655172414,0.293103448275862,0.327586206896552,0.379310344827586,0.706896551724138,506.588241691657,9,9,0.000235883331495441,time-limit,,,,,,,,,,21,0.706896551724138,0.586206896551724,,,,
11,llm-assisted,58,25,24,1,33,34,0.431034482758621,0.413793103448276,0.0172413793103448,0.568965517241379,0.586206896551724,488.898152796929,8,8,1.48640498125314,time-limit,,,,,,,,,,22,0.706896551724138,0.586206896551724,,,,
12,rule-based,58,43,22,21,15,36,0.741379310344828,0.379310344827586,0.362068965517241,0.258620689655172,0.620689655172414,494.714759369828,12,12,0.000267233330911646,time-limit,,,,,,,,,,23,0.620689655172414,0.793103448275862,,,,
12,llm-assisted,58,22,12,10,36,46,0.379310344827586,0.206896551724138,0.172413793103448,0.620689655172414,0.793103448275862,525.086888774466,5,5,0.862606380000943,time-limit,,,,,,,,,,24,0.620689655172414,0.793103448275862,,,,
13,rule-based,58,44,25,19,14,33,0.758620689655172,0.431034482758621,0.327586206896552,0.241379310344828,0.568965517241379,656.058233527052,13,13,0.000249415384202551,time-limit,,,,,,,,,,25,0.568965517241379,0.482758620689655,,,,
13,llm-assisted,58,32,30,2,26,28,0.551724137931035,0.517241379310345,0.0344827586206897,0.448275862068966,0.482758620689655,496.003337550794,9,9,1.34599743333011,time-limit,,,,,,,,,,26,0.568965517241379,0.482758620689655,,,,
14,rule-based,58,39,22,17,19,36,0.672413793103448,0.379310344827586,0.293103448275862,0.327586206896552,0.620689655172414,528.886209115905,10,10,0.000241765000100713,time-limit,,,,,,,,,,27,0.620689655172414,0.672413793103448,,,,
14,llm-assisted,58,26,19,7,32,39,0.448275862068966,0.327586206896552,0.120689655172414,0.551724137931035,0.672413793103448,514.766102367801,9,9,2.18664761666474,time-limit,,,,,,,,,,28,0.620689655172414,0.672413793103448,,,,
15,rule-based,58,39,22,17,19,36,0.672413793103448,0.379310344827586,0.293103448275862,0.327586206896552,0.620689655172414,616.178260707712,10,10,0.00027542000025278,time-limit,,Policy,On-time,Late,Unmet,,,,,29,0.620689655172414,0.620689655172414,,,,
15,llm-assisted,58,31,22,9,27,36,0.53448275862069,0.379310344827586,0.155172413793103,0.46551724137931,0.620689655172414,528.388164265946,8,8,0.745349149998219,time-limit,,Rule-based,17.84,20.09,20.07,,,,,30,0.620689655172414,0.620689655172414,,,,
16,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,689.176828097482,10,10,0.000247254998248536,time-limit,,LLM-assisted,20.62,6.25,31.13,,,,,31,0.793103448275862,0.53448275862069,,,,
16,llm-assisted,58,34,27,7,24,31,0.586206896551724,0.46551724137931,0.120689655172414,0.413793103448276,0.53448275862069,519.332515247586,10,10,1.03818131000153,time-limit,,,,,,,,,,32,0.793103448275862,0.53448275862069,,,,
17,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,920.245323002471,10,10,0.000233734998619184,time-limit,,,,,,,,,,33,0.793103448275862,0.568965517241379,,,,
17,llm-assisted,58,32,25,7,26,33,0.551724137931035,0.431034482758621,0.120689655172414,0.448275862068966,0.568965517241379,485.787668743951,9,9,0.879223588884795,time-limit,,,,,,,,,,34,0.793103448275862,0.568965517241379,,,,
18,rule-based,58,26,12,14,32,46,0.448275862068966,0.206896551724138,0.241379310344828,0.551724137931035,0.793103448275862,546.839077861243,6,6,0.000222708333846337,time-limit,,,,,,,,,,35,0.793103448275862,0.655172413793103,,,,
18,llm-assisted,58,22,20,2,36,38,0.379310344827586,0.344827586206897,0.0344827586206897,0.620689655172414,0.655172413793103,511.111944247416,6,6,1.81964940833132,time-limit,,,,,,,,,,36,0.793103448275862,0.655172413793103,,,,
19,rule-based,58,26,12,14,32,46,0.448275862068966,0.206896551724138,0.241379310344828,0.551724137931035,0.793103448275862,548.919618098911,6,6,0.000255100004627214,time-limit,,,,,,,,,,37,0.793103448275862,0.689655172413793,,,,
19,llm-assisted,58,23,18,5,35,40,0.396551724137931,0.310344827586207,0.0862068965517241,0.603448275862069,0.689655172413793,599.732335757016,6,6,1.95828034167304,time-limit,,,,,,,,,,38,0.793103448275862,0.689655172413793,,,,
20,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,538.85183071129,10,10,0.000284960001590662,time-limit,,,,,,,,,,39,0.793103448275862,0.482758620689655,,,,
20,llm-assisted,58,36,30,6,22,28,0.620689655172414,0.517241379310345,0.103448275862069,0.379310344827586,0.482758620689655,559.578962941172,10,10,1.18805121500336,time-limit,,,,,,,,,,40,0.793103448275862,0.482758620689655,,,,
21,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,558.132680251027,10,10,0.000224310001067352,time-limit,,,,,,,,,,41,0.793103448275862,0.517241379310345,,,,
21,llm-assisted,58,32,28,4,26,30,0.551724137931035,0.482758620689655,0.0689655172413793,0.448275862068966,0.517241379310345,974.885879098787,9,9,1.61038799444214,time-limit,,,,,,,,,,42,0.793103448275862,0.517241379310345,,,,
22,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,536.730891478493,10,10,0.000246969997533597,time-limit,,,,,,,,,,43,0.793103448275862,0.827586206896552,,,,
22,llm-assisted,58,17,10,7,41,48,0.293103448275862,0.172413793103448,0.120689655172414,0.706896551724138,0.827586206896552,499.315851951323,6,6,2.09575444166209,time-limit,,,,,,,,,,44,0.793103448275862,0.827586206896552,,,,
23,rule-based,58,39,12,27,19,46,0.672413793103448,0.206896551724138,0.46551724137931,0.327586206896552,0.793103448275862,511.737606139863,10,10,0.000239724996208679,time-limit,,,,,,,,,,45,0.793103448275862,0.620689655172414,,,,
23,llm-assisted,58,32,22,10,26,36,0.551724137931035,0.379310344827586,0.172413793103448,0.448275862068966,0.620689655172414,684.477910883811,8,8,0.747961549999673,time-limit,,,,,,,,,,46,0.793103448275862,0.620689655172414,,,,
